MSA,Population,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Akron,703479,8,9,10,10,13,15,19,20,26,26,28,29,32,35,37,40,41,44,45,48,58,61,63,66,66,69,72,78,88,89,90,98,99,100,109,116,119,120,124,124,124
Albany-Schenectady-Troy,880381,3,4,8,12,17,21,22,23,27,27,28,28,32,34,38,38,38,47,47,49,50,53,62,68,68,69,80,80,80,85,93,93,98,111,111,115,115,115,121,121,121
Albuquerque,918018,16,19,19,19,21,21,23,29,30,30,30,35,39,41,43,44,44,46,48,48,51,55,60,60,63,65,66,67,68,69,71,73,77,78,80,81,83,85,85,85,89
Allentown-Bethlehem-Easton,844052,1,2,3,3,4,4,5,7,8,9,10,14,18,19,25,26,28,32,39,44,55,60,66,69,76,86,92,99,105,120,125,150,159,165,168,174,177,184,203,252,265
Atlanta-Sandy Springs-Alpharetta,6020364,0,1,1,1,1,1,1,1,1,4,6,7,7,7,7,7,7,37,41,43,58,71,85,95,107,114,124,149,164,169,185,191,192,206,237,248,265,291,302,307,343
Austin-Round Rock-Georgetown,2227083,12,12,12,14,14,14,17,20,23,27,27,30,32,33,35,39,40,40,45,48,51,52,59,64,64,65,66,72,72,74,75,77,77,83,91,93,98,101,101,101,101
Baltimore-Columbia-Towson,2800053,0,1,1,1,1,1,1,1,1,1,3,5,8,8,14,18,25,30,40,47,56,63,78,99,113,122,140,141,144,145,176,195,204,222,243,257,269,293,297,328,354
Baton Rouge,854884,0,0,0,0,0,0,4,5,6,7,7,7,11,17,19,19,23,29,31,46,50,59,68,75,83,92,101,109,124,132,141,145,155,156,161,184,195,205,217,230,238
Birmingham-Hoover,1090435,18,19,19,20,20,20,23,24,29,32,32,32,32,32,38,40,41,41,43,46,52,55,59,62,62,62,62,63,71,75,79,80,80,81,83,85,91,93,95,97,97
Boston-Cambridge-Newton,4873019,0,0,0,0,0,0,0,0,0,1,1,2,2,2,3,10,15,19,22,30,50,71,93,114,123,132,152,205,253,253,253,438,483,483,483,743,743,848,961,1193,1193
Bridgeport-Stamford-Norwalk,943332,0,0,0,0,0,1,3,4,4,5,6,7,12,13,15,20,21,21,38,46,65,75,86,96,101,132,132,178,203,220,248,262,287,365,406,425,432,447,512,544,584
Buffalo-Cheektowaga,1127983,0,0,0,0,0,1,2,5,6,7,7,8,11,12,19,22,27,30,40,46,55,57,57,61,71,78,110,116,116,124,144,150,178,178,206,219,219,228,228,228,268
Cape Coral-Fort Myers,770577,24,25,25,27,28,29,29,32,36,36,37,37,40,41,43,42,42,45,46,49,54,54,62,65,65,68,69,70,73,74,79,78,89,89,89,88,92,92,92,93,93
Charlotte-Concord-Gastonia,2636883,3,4,3,4,4,7,7,9,9,12,13,19,20,20,23,23,24,33,39,46,54,54,59,73,76,78,83,85,89,91,97,99,100,107,109,112,114,117,127,133,134
Chicago-Naperville-Elgin,9458539,0,0,0,0,0,0,0,0,1,1,3,3,4,5,10,10,17,25,33,47,63,70,98,138,158,202,235,264,296,364,442,510,579,657,700,775,846,919,1042,1096,1217
Cincinnati,2221208,0,1,2,4,4,6,7,8,11,17,18,20,26,37,39,40,41,44,45,49,56,59,66,69,73,77,83,90,101,104,108,111,114,115,124,137,140,144,149,152,153
Cleveland-Elyria,2048449,2,2,2,4,5,8,11,14,18,19,20,22,24,29,36,39,39,42,43,46,58,66,71,82,88,90,99,109,125,130,139,144,144,149,163,167,177,183,184,192,198
Colorado Springs,745791,8,11,12,12,14,15,17,19,23,26,29,29,31,31,35,37,39,41,43,45,50,51,51,51,52,55,56,57,74,74,74,70,71,71,72,73,76,77,78,80,79
Columbia,838433,20,20,21,21,21,25,28,30,32,32,32,33,33,34,40,42,43,44,44,46,57,61,62,67,70,72,77,80,87,87,92,92,99,101,102,106,107,107,108,109,110
Columbus,2122271,4,7,8,9,10,13,14,18,18,21,21,22,22,24,27,29,35,38,43,45,52,54,60,64,66,68,71,77,84,107,110,114,116,117,122,129,141,149,150,156,161
Dallas-Fort Worth-Arlington,7573136,2,3,3,3,4,6,7,8,10,10,13,15,16,20,24,30,33,39,42,45,51,54,58,64,72,79,83,99,103,116,124,134,135,136,142,148,159,169,178,181,185
Dayton-Kettering,807611,41,42,42,42,42,42,43,43,43,44,46,47,48,48,48,48,48,49,49,49,50,50,50,51,52,52,51,51,,,,,,,,,,,,,
Denver-Aurora-Lakewood,2967239,0,0,0,0,0,0,0,0,0,0,0,6,5,9,13,13,11,22,26,40,50,54,62,66,66,100,100,133,146,152,160,172,191,198,208,223,230,248,277,294,326
Des Moines-West Des Moines,699292,11,11,14,14,14,17,17,21,23,25,25,28,32,34,37,39,40,42,44,49,54,64,66,72,75,76,81,86,90,100,103,105,108,112,115,122,125,140,142,142,149
Detroit-Warren-Dearborn,4319629,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,8,14,20,39,53,78,96,112,160,230,298,373,426,476,543,636,736,831,926,1101,1190,1266,1365,1499,1631
Durham-Chapel Hill,644367,2,3,3,4,4,6,6,12,13,14,14,15,24,28,28,32,39,39,42,46,50,55,56,57,58,64,68,78,81,83,85,85,89,89,89,102,104,106,106,106,110
El Paso,844124,14,18,21,22,22,22,22,22,23,30,32,32,33,33,33,41,43,45,46,47,52,54,57,57,57,58,58,60,68,72,72,78,78,,,,,,,,
Grand Rapids-Kentwood,1077370,18,18,18,19,21,21,28,31,33,34,35,35,37,40,43,44,46,46,45,45,50,51,58,58,59,62,63,67,67,67,65,69,72,75,81,82,83,84,87,90,92
Greensboro-High Point,771851,20,20,23,23,27,26,28,28,33,35,36,36,36,39,42,42,45,45,46,46,50,52,53,54,55,55,55,55,57,57,60,62,63,64,65,68,70,79,80,80,
Greenville-Anderson,920477,14,14,16,17,17,17,17,17,17,17,19,20,22,23,26,27,29,41,47,48,50,51,53,53,53,53,55,56,56,56,56,57,59,60,60,60,60,64,64,64,64
Harrisburg-Carlisle,577941,10,12,12,14,14,14,18,20,24,28,27,27,31,31,37,42,43,43,47,47,55,56,65,69,70,70,70,72,75,78,83,88,88,92,93,95,96,101,109,110,110
Hartford-East Hartford-Middletown,1204877,0,0,0,0,0,3,4,5,5,6,6,7,7,8,15,20,26,30,40,45,51,68,68,102,119,134,151,169,192,263,295,322,350,359,441,479,527,559,608,650,680
Houston-The Woodlands-Sugar Land,7066141,0,1,1,1,1,1,2,3,3,4,7,9,11,12,19,23,30,33,35,47,51,63,67,70,73,81,93,100,107,112,117,122,126,128,134,137,138,139,140,161,175
Indianapolis-Carmel-Anderson,2074537,0,0,1,2,2,2,3,3,4,4,9,10,11,16,18,19,20,26,35,39,53,61,66,66,87,106,138,178,197,207,210,235,263,284,313,329,335,336,374,389,417
Jackson,594806,16,17,17,21,21,21,21,24,24,25,26,27,28,32,32,35,38,39,43,48,50,54,55,55,58,60,61,65,69,69,69,70,74,76,78,80,80,80,81,82,84
Jacksonville,1559514,26,26,27,28,31,31,33,34,35,35,36,39,39,39,40,41,42,42,45,49,50,52,52,53,55,56,56,56,58,59,62,63,64,68,69,69,70,70,71,75,77
Kansas City,2396985,3,3,3,4,4,5,5,7,7,8,10,11,20,20,20,21,32,37,39,40,51,57,62,74,78,85,90,94,101,109,115,119,120,124,126,127,131,133,136,137,138
Lakeland-Winter Haven,724777,30,30,31,33,33,33,35,36,37,40,41,42,43,45,45,46,49,49,49,49,50,54,54,55,55,55,,,,,,,,,,,,,,,
Las Vegas-Henderson-Paradise,2266715,1,1,2,2,2,4,4,6,6,10,10,14,14,23,28,34,39,41,41,41,54,65,71,75,75,100,101,106,115,115,124,133,137,137,141,150,163,168,174,174,174
Los Angeles-Long Beach-Anaheim,13214799,1,1,1,1,1,1,1,1,2,2,2,5,7,11,14,22,29,30,36,48,61,74,91,102,107,146,161,184,215,240,259,262,288,341,379,427,482,525,608,632,652
Louisville/Jefferson County,1265108,1,2,2,2,3,3,3,3,8,9,15,17,24,24,33,35,39,40,42,42,58,64,65,76,82,84,84,91,94,103,106,108,114,116,118,121,131,134,138,139,141
Memphis,1346045,3,9,10,11,14,16,19,20,25,25,33,33,28,33,34,43,44,44,46,47,51,51,57,55,56,57,57,57,57,60,65,69,69,75,77,82,83,86,87,87,89
Miami-Fort Lauderdale-Pompano Beach,6166488,0,0,0,0,1,1,1,1,3,3,6,6,6,6,9,17,19,21,33,33,64,76,97,120,132,139,176,201,222,247,254,278,296,343,396,417,427,443,467,490,512
Milwaukee-Waukesha,1575179,0,0,0,2,2,3,3,4,4,5,8,11,12,13,13,18,19,23,34,34,52,53,64,71,82,95,103,107,113,122,127,137,143,145,148,155,164,168,177,181,184
Minneapolis-St. Paul-Bloomington,3640043,1,1,1,2,2,4,4,7,7,7,8,8,14,18,22,25,28,37,40,45,50,50,58,64,64,82,91,100,106,123,141,156,176,195,221,234,245,263,285,309,331
Nashville-Davidson-Murfreesboro-Franklin,1934317,2,2,2,2,2,2,7,7,8,20,21,23,23,28,32,39,45,48,49,49,56,60,60,63,64,65,67,69,70,70,73,73,79,81,83,86,91,94,95,96,96
New Haven-Milford,854757,0,0,0,0,0,0,0,2,2,6,6,6,6,12,15,17,18,29,36,41,60,60,78,98,107,119,135,151,195,214,229,241,257,301,322,345,372,396,416,429,456
New Orleans-Metairie,1270530,0,0,0,0,0,0,0,0,0,1,2,3,4,6,10,13,19,19,26,34,50,65,94,110,118,145,188,216,241,286,315,345,368,415,453,483,504,522,540,571,645
New York-Newark-Jersey City,25924293,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,7,14,26,40,67,96,151,210,262,363,482,633,860,1132,1505,1927,2327,2716,3625,4489,5306,6227,7138,8229,9682
North Port-Sarasota-Bradenton,836995,3,3,3,5,5,10,10,10,10,10,12,14,18,21,25,25,29,30,35,37,51,54,54,61,64,65,71,74,74,74,74,85,91,97,101,106,106,106,109,113,119
Oklahoma City,1408950,14,17,17,18,19,22,23,24,30,30,32,37,37,39,39,44,47,47,47,48,50,51,52,55,58,60,60,60,61,63,67,68,71,71,71,76,81,82,83,84,85
Orlando-Kissimmee-Sanford,2608147,12,15,15,15,16,17,18,22,24,24,24,24,30,34,37,38,39,44,46,47,52,55,55,55,55,57,59,61,62,64,64,64,66,69,69,71,72,72,73,75,77
Philadelphia-Camden-Wilmington,6102434,0,0,0,0,0,0,0,0,0,1,2,2,6,7,9,18,24,27,30,48,63,74,98,108,132,185,236,247,299,366,418,444,495,575,671,741,828,941,995,1126,1180
Phoenix-Mesa-Chandser,4948203,2,2,2,5,5,5,5,5,5,12,12,28,31,31,35,37,39,39,47,47,52,54,60,64,69,76,82,82,90,105,123,129,130,131,131,131,151,156,160,160,160
Pittsburgh,2317600,2,3,3,4,4,4,5,7,7,7,12,13,13,18,26,28,40,45,46,48,54,61,75,82,103,110,119,143,155,154,155,152,152,158,180,190,198,205,210,210,210
Portland-Vancouver-Hillsboro,2492412,9,10,12,13,14,14,16,17,18,21,21,21,25,28,31,32,41,41,45,48,50,51,53,57,61,62,63,63,66,66,70,73,75,77,78,83,86,87,88,90,90
Poughkeepsie-Newburgh-Middletown,679158,0,0,0,0,0,0,0,1,1,2,2,2,6,7,7,8,23,24,35,45,61,85,102,117,125,125,143,157,184,195,196,223,223,237,239,239,259,272,303,309,309
Providence-Warwick,1624578,0,1,1,1,2,2,3,3,7,8,11,11,19,26,26,26,42,46,46,46,59,59,66,78,90,90,99,99,96,96,130,130,137,155,165,172,182,187,198,205,210
Raleigh-Cary,1390785,6,6,5,5,5,6,12,17,18,20,21,25,30,32,35,37,38,38,41,47,52,53,54,56,56,56,60,60,60,62,62,62,63,65,67,69,69,69,69,69,69
Richmond,1291900,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,42,42,42,52,57,72,72,72,82,82,116,121,136,140,140,140,150,155,160,169,172,175,175,178
Riverside-San Bernardino-Ontario,4650631,4,4,6,6,6,8,10,11,11,11,12,17,19,20,22,28,32,38,44,49,53,63,66,66,72,81,81,93,116,126,132,145,152,160,177,192,192,200,223,226,232
Rochester,1069644,3,3,4,4,5,5,6,8,9,10,11,15,20,27,33,36,42,42,42,42,53,59,59,66,66,66,72,75,86,86,102,118,118,128,133,133,138,140,150,150,150
Sacramento-Roseville-Folsom,2363730,10,10,10,12,13,13,20,22,25,28,39,31,31,33,35,37,43,47,47,49,50,51,53,54,61,62,62,62,63,65,66,67,66,66,67,74,74,75,77,78,78
