MSA,Population,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Atlanta-Sandy Springs-Alpharetta,6020364,657,688,699,712,737,742,744,764,781,789,844,861,864,865,879,913,939,963,970,975,1003,,,,,,,,,,,,,,,,,,,,
Boston-Cambridge-Newton,4873019,30,50,71,93,114,123,132,152,205,253,253,253,438,483,483,483,743,743,848,961,1193,1193,1390,1390,1390,1390,1969,2010,2177,2288,2489,2624,2741,2846,2955,3016,3103,3249,3352,3450,3552
Bridgeport-Stamford-Norwalk,943332,432,447,512,544,584,615,662,689,707,727,747,774,810,839,865,865,910,935,952,977,1006,1017,1024,1034,1046,1068,1093,1109,1125,1146,1153,1160,1167,1180,1195,1208,1215,1221,1231,1242,1246
Chicago-Naperville-Elgin,9458539,33,47,63,70,98,138,158,202,235,264,296,364,442,510,579,657,700,775,846,919,1042,1096,1217,1247,1301,1419,1511,1628,1728,1797,1855,1895,2039,2124,2257,2361,2459,2511,2547,2706,2838
Denver-Aurora-Lakewood,2967239,614,630,677,701,754,792,811,819,846,880,887,899,903,907,908,921,959,981,993,997,1000,,,,,,,,,,,,,,,,,,,,
Detroit-Warren-Dearborn,4319629,3,8,14,20,39,53,78,96,112,160,230,298,373,426,476,543,636,736,831,926,1101,1190,1266,1365,1499,1631,1688,1889,1948,2021,2072,2147,2371,2506,2582,2627,2776,2836,2971,3056,3145
Hartford-East Hartford-Middletown,1204877,322,350,359,441,479,527,559,608,650,680,716,748,782,813,835,871,871,906,942,984,1017,1038,1061,1071,1083,1094,1128,1168,1200,1219,1248,1269,1275,1302,1319,1345,1360,1366,1381,1391,1403
Indianapolis-Carmel-Anderson,2074537,764,770,786,798,815,827,851,873,879,883,910,921,942,953,962,966,969,975,982,999,1019,1023,1025,,,,,,,,,,,,,,,,,,
Los Angeles-Long Beach-Anaheim,13214799,215,240,259,262,288,341,379,427,482,525,608,632,652,696,766,833,886,933,955,983,1044,1100,1156,1224,1261,1283,1314,1384,1434,1484,1541,1589,1607,1646,1693,1740,1791,1837,1879,1909,1928
Miami-Fort Lauderdale-Pompano Beach,6166488,512,571,604,612,626,632,676,698,723,748,766,772,782,827,866,906,945,976,981,986,1008,1039,1065,1091,1112,1115,1122,1144,1165,1196,1211,1236,1238,1246,1248,1280,1303,1328,1350,1350,
New Orleans-Metairie,1270530,453,483,504,522,540,571,645,701,733,764,782,801,819,833,880,922,953,965,977,987,1011,1024,1053,1082,1088,1094,1109,1125,1145,1154,1156,1170,1174,1185,1200,1207,1223,1231,1239,1245,1249
New York-Newark-Jersey City,25924293,0,0,0,1,1,2,3,7,14,26,40,67,96,151,210,262,363,482,633,860,1132,1505,1927,2327,2716,3625,4489,5306,6227,7138,8229,9682,10815,11995,13097,14198,15231,16242,17404,18423,19412
Philadelphia-Camden-Wilmington,6102434,48,63,74,98,108,132,185,236,247,299,366,418,444,495,575,671,741,828,941,995,1126,1180,1250,1271,1325,1365,1409,1524,1755,1852,2012,2069,2095,2193,2449,2604,2749,2862,2941,2967,2989
Washington-Arlington-Alexandria,6280487,125,156,179,198,215,249,263,306,335,390,416,452,482,593,657,712,777,810,884,927,1004,1080,1112,1197,1266,1310,1362,1422,1469,1548,1591,1634,1660,1737,1811,1865,1920,1960,1998,2023,2077
