MSA,Population,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Boston-Cambridge-Newton,4873019,152,205,253,253,253,438,483,483,483,743,743,848,961,1193,1193,1390,1390,1390,1390,1969,2010,2177,2288,2489,2624,2741,2846,2955,3016,3103,3249,3352,3450,3552,3648,3740,3762,3871,4006,4084,4152
Chicago-Naperville-Elgin,9458539,442,510,579,657,700,775,846,919,1042,1096,1217,1247,1301,1419,1511,1628,1728,1797,1855,1895,2039,2124,2257,2361,2459,2511,2547,2706,2838,2970,3096,3196,3252,3303,3430,3608,3738,3855,3925,3967,4022
Detroit-Warren-Dearborn,4319629,160,230,298,373,426,476,543,636,736,831,926,1101,1190,1266,1365,1499,1631,1688,1889,1948,2021,2072,2147,2371,2506,2582,2627,2776,2836,2971,3056,3145,3186,3320,3344,3397,3432,3480,3551,3587,3696
Los Angeles-Long Beach-Anaheim,13214799,1100,1156,1224,1261,1283,1314,1384,1434,1484,1541,1589,1607,1646,1693,1740,1791,1837,1879,1909,1928,2001,2071,2128,2171,2222,2237,2249,2276,2337,2383,2439,2485,2509,,,,,,,,
New York-Newark-Jersey City,25924293,1,1,2,3,7,14,26,40,67,96,151,210,262,363,482,633,860,1132,1505,1927,2327,2716,3625,4489,5306,6227,7138,8229,9682,10815,11995,13097,14198,15231,16242,17404,18423,19412,20152,20835,21562
Philadelphia-Camden-Wilmington,6102434,366,418,444,495,575,671,741,828,941,995,1126,1180,1250,1271,1325,1365,1409,1524,1755,1852,2012,2069,2095,2193,2449,2604,2749,2862,2941,2967,2989,3067,3218,3376,3478,3541,3558,3530,3616,3729,3802
Washington-Arlington-Alexandria,6280487,927,1004,1080,1112,1197,1266,1310,1362,1422,1469,1548,1591,1634,1660,1737,1811,1865,1920,1960,1998,2023,2077,2130,2182,2234,2277,2303,2345,2383,2448,2500,2532,2564,2579,,,,,,,
