MSA,Population,-20,-19,-18,-17,-16,-15,-14,-13,-12,-11,-10,-9,-8,-7,-6,-5,-4,-3,-2,-1,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Akron,703479,35,37,40,41,44,45,48,58,61,63,66,66,69,72,78,88,89,90,98,99,100,109,116,119,120,124,124,124,134,138,152,155,161,161,165,166,186,194,203,217,217
Albany-Schenectady-Troy,880381,34,38,38,38,47,47,49,50,53,62,68,68,69,80,80,80,85,93,93,98,111,111,115,115,115,121,121,121,123,124,128,129,130,130,130,133,133,133,133,144,144
Albuquerque,918018,68,69,71,73,77,78,80,81,83,85,85,85,89,92,92,96,96,96,97,98,101,101,101,,,,,,,,,,,,,,,,,,
Allentown-Bethlehem-Easton,844052,8,9,10,14,18,19,25,26,28,32,39,44,55,60,66,69,76,86,92,99,105,120,125,150,159,165,168,174,177,184,203,252,265,272,276,278,279,317,334,378,384
Atlanta-Sandy Springs-Alpharetta,6020364,1,1,1,1,1,4,6,7,7,7,7,7,7,37,41,43,58,71,85,95,107,114,124,149,164,169,185,191,192,206,237,248,265,291,302,307,343,354,372,382,395
Austin-Round Rock-Georgetown,2227083,40,45,48,51,52,59,64,64,65,66,72,72,74,75,77,77,83,91,93,98,101,101,101,101,104,106,107,108,108,109,111,112,115,120,121,124,124,,,,
Baltimore-Columbia-Towson,2800053,1,1,1,1,1,1,3,5,8,8,14,18,25,30,40,47,56,63,78,99,113,122,140,141,144,145,176,195,204,222,243,257,269,293,297,328,354,383,410,421,449
Baton Rouge,854884,4,5,6,7,7,7,11,17,19,19,23,29,31,46,50,59,68,75,83,92,101,109,124,132,141,145,155,156,161,184,195,205,217,230,238,242,251,263,278,288,294
Birmingham-Hoover,1090435,55,59,62,62,62,62,63,71,75,79,80,80,81,83,85,91,93,95,97,97,101,106,108,111,111,111,114,119,120,123,125,125,126,,,,,,,,
Boston-Cambridge-Newton,4873019,0,0,0,0,0,0,1,1,2,2,2,3,10,15,19,22,30,50,71,93,114,123,132,152,205,253,253,253,438,483,483,483,743,743,848,961,1193,1193,1390,1390,1390
Bridgeport-Stamford-Norwalk,943332,0,1,3,4,4,5,6,7,12,13,15,20,21,21,38,46,65,75,86,96,101,132,132,178,203,220,248,262,287,365,406,425,432,447,512,544,584,615,662,689,707
Buffalo-Cheektowaga,1127983,2,5,6,7,7,8,11,12,19,22,27,30,40,46,55,57,57,61,71,78,110,116,116,124,144,150,178,178,206,219,219,228,228,228,268,287,291,291,291,311,336
Cape Coral-Fort Myers,770577,62,65,65,68,69,70,73,74,79,78,89,89,89,88,92,92,92,93,93,99,100,101,105,105,,,,,,,,,,,,,,,,,
Charlotte-Concord-Gastonia,2636883,20,20,23,23,24,33,39,46,54,54,59,73,76,78,83,85,89,91,97,99,100,107,109,112,114,117,127,133,134,134,139,140,143,144,145,147,148,148,151,151,151
Chicago-Naperville-Elgin,9458539,0,0,0,0,0,1,1,3,3,4,5,10,10,17,25,33,47,63,70,98,138,158,202,235,264,296,364,442,510,579,657,700,775,846,919,1042,1096,1217,1247,1301,1419
Cincinnati,2221208,11,17,18,20,26,37,39,40,41,44,45,49,56,59,66,69,73,77,83,90,101,104,108,111,114,115,124,137,140,144,149,152,153,165,181,184,191,191,193,193,204
Cleveland-Elyria,2048449,14,18,19,20,22,24,29,36,39,39,42,43,46,58,66,71,82,88,90,99,109,125,130,139,144,144,149,163,167,177,183,184,192,198,207,215,222,231,233,234,236
Columbia,838433,34,40,42,43,44,44,46,57,61,62,67,70,72,77,80,87,87,92,92,99,101,102,106,107,107,108,109,110,113,114,114,115,118,119,121,127,128,130,130,130,
Columbus,2122271,21,21,22,22,24,27,29,35,38,43,45,52,54,60,64,66,68,71,77,84,107,110,114,116,117,122,129,141,149,150,156,161,167,184,195,197,205,218,219,231,255
Dallas-Fort Worth-Arlington,7573136,10,10,13,15,16,20,24,30,33,39,42,45,51,54,58,64,72,79,83,99,103,116,124,134,135,136,142,148,159,169,178,181,185,198,207,228,231,241,244,252,261
Denver-Aurora-Lakewood,2967239,0,0,0,0,0,0,6,5,9,13,13,11,22,26,40,50,54,62,66,66,100,100,133,146,152,160,172,191,198,208,223,230,248,277,294,326,397,403,404,416,442
