MSA,Population,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Milwaukee-Waukesha,1575179,2,2,3,3,4,4,5,8,11,12,13,13,18,19,23,34,34,52,53,64,71
Minneapolis-St. Paul-Bloomington,3640043,1,1,1,1,1,2,2,4,4,7,7,7,8,8,14,18,22,25,28,37,40
Nashville-Davidson-Murfreesboro-Franklin,1934317,1,1,2,2,2,2,2,2,2,2,7,7,8,20,21,23,23,28,32,39,45
New Haven-Milford,854757,2,2,6,6,6,6,12,15,17,18,29,36,41,60,60,78,98,107,119,135,151
New Orleans-Metairie,1270530,1,2,3,4,6,10,13,19,19,26,34,50,65,94,110,118,145,188,216,241,286
New York-Newark-Jersey City,25924293,1,1,2,3,7,14,26,40,67,96,151,210,262,363,482,633,860,1132,1505,1927,2327
North Port-Sarasota-Bradenton,836995,1,1,1,1,1,1,1,3,2,3,3,3,3,5,5,10,10,10,10,10,12
Ogden-Clearfield,683864,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Oklahoma City,1408950,1,3,5,5,8,9,9,14,17,17,18,19,22,23,24,30,30,32,37,37,39
Omaha-Council Bluffs,949442,1,1,1,1,1,1,1,1,3,4,4,5,5,5,5,5,5,5,6,6,6
Orlando-Kissimmee-Sanford,2608147,1,1,2,2,2,2,2,2,2,4,4,4,4,4,5,5,11,12,15,15,15
Oxnard-Thousand Oaks-Ventura,846006,1,1,1,1,1,3,3,4,4,5,5,6,6,6,6,6,7,7,10,10,10
Palm Bay-Melbourne-Titusville,601942,2,2,2,2,4,6,6,6,6,7,7,7,7,7,7,8,8,8,8,8,8
Philadelphia-Camden-Wilmington,6102434,1,2,2,6,7,9,18,24,27,30,48,63,74,98,108,132,185,236,247,299,366
Phoenix-Mesa-Chandser,4948203,1,2,2,2,2,2,5,5,5,5,5,5,12,12,28,31,31,35,37,39,39
Pittsburgh,2317600,1,1,1,2,2,3,3,4,4,4,5,7,7,7,12,13,13,18,26,28,40
Portland-Vancouver-Hillsboro,2492412,1,1,3,5,5,5,5,5,5,9,10,12,13,14,14,16,17,18,21,21,21
Poughkeepsie-Newburgh-Middletown,679158,1,1,2,2,2,6,7,7,8,23,24,35,45,61,85,102,117,125,125,143,157
